wikidata	orcid	alexid	author_name	author_raw_name	role	department	active	notes
NULL	NULL	https://openalex.org/A5025804581	A. Gordon Smith	A. G. Smith	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5074437171	A. S. Loukashkin	Anatole S. Loukashkin	NULL	NULL	0	NULL
NULL	https://orcid.org/0000-0001-6839-8025	https://openalex.org/A5018739374	Aaron M. Bauer	Aaron M. Bauer	Research Associate	Herpetology	1	NULL
NULL	https://orcid.org/0000-0002-7051-8249	https://openalex.org/A5062512082	Aaron M. Goodman	Aaron Goodman	Research Associate	Entomology	1	overmerged profile. submitted request 4/3/24
NULL	NULL	https://openalex.org/A5089172535	Aaron Pope	Aaron Pope	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5003814941	Adam J. Baldinger	A.J. Baldinger	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-8829-2719	https://openalex.org/A5075964014	Adrian A. Barnett	Adrian A. Barnett	Research Associate	Anthropology	1	NULL
NULL	https://orcid.org/0000-0002-5990-3381	https://openalex.org/A5030612844	Adrian Van Allen	Adrian Van Allen	Research Associate	Anthropology	1	NULL
NULL	NULL	https://openalex.org/A5025625912	Alan Leviton	Alan E. Leviton	Emeritus	Herpetology	1	wrong orcid on openalex
NULL	NULL	https://openalex.org/A5088506937	Alan W. Harvey	Alan W. Harvey	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5032939332	Alayah Densby	Alayah Densby	NULL	NULL	2	NULL
https://www.wikidata.org/wiki/Q36505474	NULL	https://openalex.org/A5017776668	Albert D. Mahood	Albert D. Mahood	NULL	NULL	0	NULL
NULL	https://orcid.org/0000-0001-9033-8272	https://openalex.org/A5032036549	Alejandra Hernández‐Agreda	Alejandra Hernandez-Agreda	Research Scientist	Invertebrate Zoology and Geology	1	NULL
NULL	https://orcid.org/0000-0002-9128-826X	https://openalex.org/A5082283119	Alejandro Acevedo‐Gutiérrez	A. Acevedo-Gutiérrez	Educator	Education	0	no longer affiliated with CAS
NULL	NULL	https://openalex.org/A5047969260	Alessandr Richardson-Beatty	Alessandr Richardson-Beatty	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5045292507	Alessandra López	Alessandra Lopez	NULL	NULL	2	overmerged
NULL	NULL	https://openalex.org/A5010428376	Alexandra M. Snyder	Alexandra M. Snyder	NULL	NULL	2	NULL
https://www.wikidata.org/wiki/Q460241	NULL	https://openalex.org/A5002074684	Alice Eastwood	Alice Eastwood	Curator	Botany	0	NULL
NULL	https://orcid.org/0000-0002-2358-303X	https://openalex.org/A5004407993	Alison L. Gould	A. L. Gould	Research Scientist	Ichthyology	1	NULL
NULL	https://orcid.org/0000-0001-8919-0661	https://openalex.org/A5041311769	Alison N. Young	Alison N. Young	Director	Center for Biodiversity and Community Science	1	NULL
NULL	NULL	https://openalex.org/A5086144281	Allen S. Weik	Allen Weik	Graduate Student	Invertebrate Zoology & Geology	0	NULL
NULL	https://orcid.org/0000-0001-9154-8431	https://openalex.org/A5001002387	Allison Fritts-Penniman	Allison L. Fritts-Penniman	Postdoc	Invertebrate Zoology & Geology	0	NULL
NULL	NULL	https://openalex.org/A5079282214	Allyn Goodwin Smith	Allyn G. Smith	NULL	Invertebrate Zoology & Geology	0	NULL
NULL	NULL	https://openalex.org/A5063935118	Alma D. Saucedo	Alma D. Saucedo	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5045231889	Alyssa Bautista	Alyssa Bautista	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5072184778	Amelia Rosenman	Amelia Rosenman	NULL	Education	2	NULL
NULL	https://orcid.org/0000-0002-8298-8555	https://openalex.org/A5067256113	Ana Carolina Loss	Ana Carolina Loss	Postdoc	Entomology	0	NULL
NULL	https://orcid.org/0000-0002-1035-0923	https://openalex.org/A5021861891	Ana Gaisiner	Ana Gaisiner	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5053764497	Andrea B. Taylor	Andrea B Taylor	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-9248-537X	https://openalex.org/A5047814434	Andrea Nickerson	Andrea D. Nickerson	Research Associate	Center for Travel Health	2	not sure if she's still affiliated with CAS
NULL	NULL	https://openalex.org/A5064229470	Andrew S. Jensen	A. S. Jensen	Research Associate	Entomology	1	NULL
NULL	https://orcid.org/0000-0002-2347-4896	https://openalex.org/A5090590989	Ángel Valdés	Àngel Valdés	Research Associate	Invertebrate Zoology & Geology	2	overmerged
NULL	NULL	https://openalex.org/A5035289204	Angela Borges Martins	Angela B. Martins	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-1838-4597	https://openalex.org/A5059428431	Ângelo F. Bernardino	A F Bernardino	Research Associate	Icthyology	2	NULL
NULL	NULL	https://openalex.org/A5035026439	Anita A. Suran	Anita A. Suran	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5028598484	Anna B. Sellas	Anna B. Sellas	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-5963-8151	https://openalex.org/A5051971022	Anna Holmquist	Anna J Holmquist	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5081627953	Anne C. Cohen	Anne C. Cohen	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5056109967	Anne Frances Armstrong	Anne Frances Armstrong	Postdoc	Invertebrate Zoology & Geology	0	NULL
NULL	NULL	https://openalex.org/A5005431107	Annette Gavigan	Annette Gavigan	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-6935-485X	https://openalex.org/A5039221958	Annie E. Miller	Annie E. Miller	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5004972730	Anthea Carmichael	Anthea Carmichael	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5042981829	Anton E. Lawson	A. Lawson	NULL	NULL	2	NULL
